,pressure,perimeter,feret_d,area,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y,celltype,celltype_conf,cluster,cluster_conf,phenograph_clusters,boundary_annotation,polygon_perimeter
cell_563,1.1303492366075842,638.6345596729059,190.5203401214684,15501,3276.380427069221,3841.806528611057,0.0377714332075436,0.028720798921507,0.4675649648515443,0.1361156633826157,2105.284113633472,849.5380527349796,0.8212470110585853,0.4249819414485558,0.1906213899986098,0.0005678000795989,183,167,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,513.5606306815064
cell_564,1.3229874874488297,609.6223663640862,199.20090361240835,18413,2993.033997719003,3857.017596263509,0.0038173000821339,0.0003433599959293,1.3637165842096155,0.8349492679107764,2143.800902096424,1043.1309947285652,0.9485625155454042,0.3453697609492099,0.1730805353187959,0.0001123781155605,159,171,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Forebrain/Midbrain/Hindbrain,523.1182979622574
cell_565,1.230540278628063,554.6223663640861,175.231275747225,11611,3106.213762811128,3839.092670743261,0.0703829014005443,0.0445102819128043,0.1643433848766959,0.2251884641160777,1797.249016498526,608.0142448039502,1.1689024479668375,0.4944301901699492,0.2071538421585114,0.0026914800424057,139,167,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Forebrain/Midbrain/Hindbrain,474.27735865897364
cell_566,1.466442517742022,645.5634918610405,179.86939706353607,16383,5286.747421107245,3854.97686626381,0.0586596079402544,0.0398871165532475,0.5775560621280043,0.1904933064339921,1790.2613811388685,1061.08080654689,1.5043791515967395,0.2557323977953712,0.1740427386733661,0.0005084504539819,173,177,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,513.9500732804704
cell_567,0.8936572168805508,689.4629867976521,217.74526401279087,22465,6161.687870020031,3854.935855775651,0.0345198400985754,0.0123023258132925,0.5673939502910152,0.4745084694950297,2550.8998453080853,1300.6697924730483,0.0298985841286771,0.3246027387305106,0.1714475690087306,0.0001632932317124,217,165,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,571.8842390104815
cell_568,2.68874193441192,542.2081528017131,186.40010729610648,14849,8410.172806249579,3874.758030843828,0.040868746410567,0.0261943225800076,1.007196449749616,0.2188152742103372,2016.942988533445,706.8234727761004,0.8287600453282725,0.4809955384822013,0.1834309691770183,3.061134688650782e-05,145,153,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,7,Forebrain/Midbrain/Hindbrain,445.35397104866246
cell_569,0.2491789838232175,463.40916292848976,152.6106156202772,7277,5814.974027758692,3864.918785213687,0.0338145244937187,0.0063482871689532,0.1406068007895825,0.6838723731658739,1175.0227584351528,409.88655767144087,1.398574426505737,0.4827633940869916,0.2177970751829866,0.0035531857384372,103,147,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,376.58599519190767
cell_570,0.9362582451535384,577.8294731452727,192.15098230297968,12323,3560.1340582650328,3906.729773594093,0.037322641552307,0.0298429815018821,1.168876670374779,0.1113614332794967,2278.458295355744,497.6266419009698,1.3549440324602444,0.6414903339429397,0.2252767132400157,0.0006246914719595,109,191,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,459.75152594065696
cell_571,1.5513693629115166,566.9360748630709,171.56339936011994,14691,3182.7566537335783,3894.8479341093184,0.0551225652741567,0.0208322198162345,0.2213678632868039,0.4514573429062354,1469.224696915824,1054.2003471177857,0.3210399046528862,0.1644686656254453,0.1717667309259825,0.0010081856231945,169,145,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,3,Forebrain/Midbrain/Hindbrain,476.83175528996526
cell_572,0.3403595873145801,1107.6650429449553,370.9514793069304,49431,6721.85492909308,4003.716736460925,0.0153219080136827,0.0049371270540389,0.4166913073951172,0.5125999794624775,7982.481154839688,2156.065838756484,0.9833803511821426,0.5746795196356395,0.2051050351721828,0.0009135805177731,283,325,Cranial mesoderm,1.0,2.0,1.0,5,Cranial mesoderm,908.7015007438347
cell_573,0.7585276872701501,696.1614716074871,217.70163067832084,17903,6975.398983410601,3911.753616712283,0.0125347099936843,0.0097250636519662,0.7902299079977346,0.1262207957027965,2424.7208752952606,976.97410682036,0.6875528477634965,0.4255957033438964,0.1900069810710842,0.0008949298666646,213,177,Cranial mesoderm,1.0,2.0,0.733143061006065,5,Cranial mesoderm,563.6426146944516
cell_574,1.0168341460767054,536.5218613006978,160.96272860510285,12627,5187.500673160687,3907.114912489111,0.0113636578546275,0.001230680693845,0.9372540107866418,0.8045660454324797,1321.8760064196358,816.0043298642344,1.1631633953214011,0.2366230082992967,0.1693102349159634,0.0003189758795237,147,153,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,446.47165675195413
cell_575,1.7866522902549602,555.208152801713,162.85576440519384,14097,5385.818897637795,3915.479250904448,0.0582929417284545,0.0328974199144221,0.1129682332060915,0.278489100783341,1345.2764486063224,1088.2535809431447,1.1491505005811316,0.1056172985507648,0.1726275114953158,0.0011031762335261,153,151,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,0,Forebrain/Midbrain/Hindbrain,480.8629830937899
cell_576,0.3154515113935285,638.8294731452727,209.34660255184463,17111,5620.020162468588,3917.847232774239,0.0204943713890948,0.0032675972162394,0.8546224564888716,0.7249725163338592,2429.3897393053144,851.8221542380302,1.5596307701349188,0.480788085698326,0.1917603818329346,0.0008924519202876,135,203,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,542.5240567285549
cell_577,1.951778966098596,528.4507934888323,162.24980739587951,13817,5899.127885937613,3905.877542158211,0.0562630497579393,0.0326945996654562,0.2938373679861648,0.2649401175193905,1316.1551877574748,997.3952086295808,0.659741758688186,0.1377795701471141,0.1674423099360972,0.000658301604605,153,141,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,439.02235547372703
cell_578,0.3500504852562632,428.3086578651014,137.27709204379295,6855,6294.816630196937,3892.202042304887,0.0299025390462743,0.0054112944110237,1.3337256543560647,0.6935311813390548,911.870673115268,427.4894546112504,0.6751181751382896,0.3616512157385371,0.1953844095881135,0.0027805772285865,133,111,Forebrain/Midbrain/Hindbrain,1.0,1.0,1.0,0,Forebrain/Midbrain/Hindbrain,366.5003094033368
cell_579,0.3303821008312877,949.025432638166,344.3094538347735,25697,6446.620266957232,3929.022103747519,0.0189056196061826,0.0075632996220318,0.5766727764228461,0.4285146622858866,6693.433427848995,908.0126557420922,0.1271563633954991,0.7610947586138433,0.2958106426271972,0.0059627451483035,343,135,Forebrain/Midbrain/Hindbrain,1.0,4.0,0.7236106543900033,7,Forebrain/Midbrain/Hindbrain,782.9753193254401
cell_580,0.7625306176154741,624.1848122046001,181.463494951464,18241,3882.1356285291376,3955.864152184639,0.0293332638584206,0.0167385657495582,0.0386141318577164,0.2733709126819916,1679.9632581917651,1346.809496817962,1.2606647336881658,0.1100689705966156,0.1659323915909066,0.0003202253400584,163,177,Forebrain/Midbrain/Hindbrain,1.0,6.0,0.8249708284714119,1,Forebrain/Midbrain/Hindbrain,528.7706622847895
cell_581,1.0789646052342876,630.1787155501902,188.16216410320115,15861,3338.800390895908,3965.754933484648,0.0242525254848672,0.0179478512553914,1.1320630041929094,0.1493985295032024,1474.9490764793527,1231.2798160262444,0.7285463782162901,0.0900401518614724,0.1706215807644913,0.0002466703840643,165,173,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,520.0225669024497
cell_582,0.1802448129311615,597.2497833620557,203.1994094479608,13647,6037.578149043746,3929.7743093720233,0.0538836821270387,0.0083357040708405,0.2848737651133382,0.7320544421852662,2004.7268782639403,686.4213064587613,0.0391487969964686,0.489867328484187,0.1971970531781858,0.00132188432436,203,115,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,487.15667746160506
cell_583,0.8689569219947597,388.2964645562817,126.40015822774906,7139,5488.644628099173,3916.0261941448384,0.0380894238051503,0.0177943390958206,1.5175029862858185,0.3631660370704387,688.7182299275398,553.4775290278496,0.7447273985649723,0.108872293215217,0.1740013669919302,0.0014172114264608,115,95,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,343.81089699440474
cell_584,1.5998052341513496,429.6101730552664,131.12589370524802,7659,3780.9301475388434,3957.106541323933,0.0769725203539864,0.0415520363992802,0.3680310671591965,0.298845107925113,973.2643877848528,447.00336142691793,1.1968220459964316,0.3705364897921554,0.1854377528674463,0.0008103167072267,109,119,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,365.8939764302424
cell_585,0.4557918732255886,918.3746750430836,272.96336750560505,32461,4105.043713995256,4017.048334924987,0.0121188421059125,0.0053753701541396,0.1164547693452184,0.3854687396912131,3867.162371818121,1983.4360118528464,0.7019146564447525,0.3219715722109312,0.1802346934373854,0.0007030205955804,229,235,Forebrain/Midbrain/Hindbrain,1.0,4.0,0.530601454064772,3,Forebrain/Midbrain/Hindbrain,720.4158185679224
cell_586,2.380766555714525,396.6457069611992,125.67020331009256,6673,3035.697737149708,3971.977371497078,0.080486462663267,0.050216400312347,1.1206885186112898,0.2315944858573424,940.5247725652664,366.363421489434,0.9974841479273484,0.4393347140848077,0.195847174292627,0.001858679089171,109,109,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,345.5161485128964
cell_587,0.4131381885583751,565.0132393293462,187.44865963777923,9899,3986.342054753005,3997.6220830386906,0.0378827242756167,0.0071880006174101,0.0369933103291506,0.6810346124021535,1955.8921344825428,443.0036141035832,0.9046963798830427,0.6306603866677549,0.2423371803804552,0.0039274546545427,161,163,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,479.34409066852356
cell_588,2.105831489427977,472.8944443027283,146.53668482670133,10915,5715.474209803024,3998.240952817224,0.0650808228020707,0.0599165728703868,0.3731346895485449,0.041314860232898,1213.787480767399,642.993809580769,0.9878419348323788,0.3074102879825979,0.1701128071780273,3.825053292863712e-05,123,137,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,399.00270923815043
cell_589,1.386338834113524,535.0660171779821,182.1482912354656,13603,3660.429758141586,3989.7238109240607,0.0676194262991383,0.0394517270256015,0.0027344803666074,0.2630745854404497,1958.8121205679845,610.6370444357615,0.2237582500842248,0.5246942008016949,0.1888884190990036,7.874599550192333e-05,177,109,Forebrain/Midbrain/Hindbrain,1.0,6.0,0.5569129916567341,1,Forebrain/Midbrain/Hindbrain,439.8932741917537
cell_590,2.2309572561830664,488.2670273047588,152.46311029229332,12587,3225.729959482005,4010.1415746405023,0.0541049937492132,0.0503580126674151,1.5074785236858643,0.0358689761125011,1379.0427045489066,747.4450086686943,1.5244353991549515,0.2970145051647339,0.1689431725762772,9.916843663688502e-06,109,147,Forebrain/Midbrain/Hindbrain,1.0,4.0,0.6295712484237075,0,Forebrain/Midbrain/Hindbrain,423.0139118866175
cell_591,1.0948218664771576,585.1370849898476,179.0111728356641,16349,5086.390237935042,4010.669398739984,0.0179139844785625,0.0039119245635688,0.1303881383188872,0.641533870958824,1787.3776580125268,1004.9414062827838,0.2614762193157977,0.2802101886330115,0.1707944867756627,6.853305301213482e-05,175,141,Forebrain/Midbrain/Hindbrain,1.0,4.0,0.8299675891298928,3,Forebrain/Midbrain/Hindbrain,500.2997619343385
cell_592,0.9743222397499064,523.7939392393399,165.20593209688326,12995,5230.000538668719,4005.846710273182,0.0262075870654283,0.0194791457647739,0.1330275034353102,0.1472734179890059,1540.2303221922837,750.5664183304937,0.8000749431132765,0.3447114664924757,0.1762829350152195,0.0003950506607377,141,145,Forebrain/Midbrain/Hindbrain,0.9999999999999998,4.0,0.9999999999999998,0,Forebrain/Midbrain/Hindbrain,439.6619769852379
cell_593,3.287205529032022,569.6639969244287,168.71573726241425,13977,5931.423552979895,4020.458682120626,0.0935933909734481,0.0582567829995669,0.6691367630382025,0.2327070628194389,1425.2239144325974,951.0607643456592,0.6283872551017461,0.1995397076459393,0.1700139285095697,0.0002660895912394,167,155,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,461.90538254129797
cell_594,3.6887273339038633,549.237590053236,172.20046457544765,15767,3112.47256929029,4018.757658400457,0.0694411770064267,0.0675081020670888,1.4985654357555511,0.0141152618868487,1555.89895244579,1047.8116392308905,0.9709265513785842,0.1951397036364601,0.1651367153977725,4.456850920881778e-05,145,153,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,1,Forebrain/Midbrain/Hindbrain,487.17311031166895
cell_595,0.6828911005720635,546.8944443027283,172.15400082484288,13675,5344.757513711152,4025.020987202925,0.024337235296145,0.0118541912881673,0.7453878195147744,0.3449171581810128,1165.3244400175472,1098.9850950565988,1.563466395205954,0.0292978252016132,0.1655802219432648,9.954103267042762e-05,159,143,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,462.76428461302163
cell_596,4.063083205337835,551.5929291125633,156.28499608087785,14475,6121.490777202072,4026.8443523316064,0.0908063011637966,0.0575782365813462,0.8365863457360805,0.2239321231671801,1407.1869219944629,987.8163142445412,0.8276080808914339,0.1751023136020812,0.1654579092393094,0.0001353871670585,147,151,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,394.9576531295968
cell_597,0.3856325733205574,716.9482681718907,228.2126201593593,22517,5489.900786072745,4063.958964338056,0.0158709908899027,0.0094635599458442,0.7161000716790032,0.2529127508752873,3250.893979639628,1060.6412354927118,0.812398976677493,0.5079983427851205,0.1914791142306852,0.0004058521633127,193,201,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,0,Forebrain/Midbrain/Hindbrain,602.8495359858887
cell_598,0.373832685267053,930.5756851698602,341.6738210633059,30431,6920.920935887746,4096.642239821235,0.0285399541708809,0.0035643151075696,0.922354453577935,0.7779538243555612,7567.502769959424,976.2987428623564,1.1318797053396168,0.7714603408337111,0.2807598012823036,0.0030852512109975,203,305,Cranial mesoderm,1.0,2.0,1.0,5,Cranial mesoderm,787.4157977103398
cell_599,2.8688780117173205,461.9238815542512,137.71347065556077,11097,6279.5923222492565,4024.6627016310713,0.0722579193467854,0.0637956978133761,0.7747436604576533,0.0621976960998219,929.5591903289074,865.7938021970665,0.4276123661241097,0.0355169085952986,0.1617872391210213,0.0001048807173757,125,129,Neural crest,1.0,2.0,1.0,0,Other,391.8083465176575
