,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
1975,cell_761,cell_787,212.7273998664082,1.411617898975813e-16,5.3600115332158005,-36.49662499524562
1976,cell_761,cell_799,568.702889099435,2.86256852077845e-17,6.34335813448173,-38.09222727491506
1977,cell_762,cell_763,143.51933111254195,1.0482979596806293e-18,4.9664697377125435,-41.3993638157308
1978,cell_762,cell_768,63.50022360321893,1.4647126719239806e-18,4.15104342720298,-41.06487257903901
1979,cell_762,cell_780,67.92228812351871,1.2260931190353047e-18,4.218364229944462,-41.24269888572699
1980,cell_763,cell_764,12.462026598839362,3.2430311045739146e-17,2.522686148515464,-37.96743816232329
1981,cell_763,cell_780,119.08582224831828,5.048308344722534e-18,4.779844428539141,-39.82747846796737
1982,cell_763,cell_791,65.6429476450091,9.004255185554398e-18,4.184230171444731,-39.248834409895615
1983,cell_764,cell_773,298.85946077355703,4.085863566403685e-17,5.699973432033888,-37.73641347556408
1984,cell_764,cell_789,120.0125496413697,4.86048945110001e-17,4.78759631765865,-37.56280743795441
1985,cell_764,cell_791,59.325106521515664,2.4694709055536383e-17,4.083032597878844,-38.23994266148264
1986,cell_765,cell_766,65.6601317241018,1.3826410948127756e-16,4.184491918225894,-36.517365980967156
1987,cell_765,cell_773,72.27331798663126,3.1824673863006224e-17,4.280455015222489,-37.9862897773257
1988,cell_765,cell_788,126.29677264336026,3.1022060207657306e-17,4.838634475929091,-38.011833102886996
1989,cell_766,cell_773,8.575844555415268,1.787714960657704e-16,2.1489494786295764,-36.26042324183848
1990,cell_767,cell_775,1020.1105900871634,1.6949008132679777e-18,6.927666322055196,-40.918907452018644
1991,cell_767,cell_783,530.2991666598749,1.1265487708843027e-17,6.273441312691491,-39.024787806774185
1992,cell_768,cell_778,79.90192941663516,2.6994543926320058e-17,4.380800000373479,-38.15089690511172
1993,cell_768,cell_780,8.722061289368613,3.293749976484024e-17,2.1658555963815096,-37.95191985473082
1994,cell_768,cell_792,83.81579919880843,1.357681363683581e-17,4.4286215243096105,-38.83816821575647
1995,cell_769,cell_772,79.06157238484863,8.513980568977733e-18,4.370226946171255,-39.3048220887331
1996,cell_769,cell_782,176.9254881234104,2.5076275651871196e-18,5.175728672886461,-40.52719456087839
1997,cell_769,cell_797,134.4274225071097,1.3626636362766485e-17,4.901024443787664,-38.834505240535385
1998,cell_770,cell_785,58.821582007513896,1.1797243283771636e-16,4.074508828505646,-36.676080696739916
1999,cell_770,cell_796,76.0194513280273,4.428187369099745e-17,4.330989246066329,-37.65595625233612
2000,cell_770,cell_815,84.78448765049055,2.654553547938712e-18,4.440112597414496,-40.470255188540584
2001,cell_771,cell_778,37.82388939289974,1.88715075363217e-17,3.632940897522265,-38.50887842706637
2002,cell_771,cell_782,118.02989202873592,2.899700559451635e-18,4.770937914662418,-40.3819241975931
2003,cell_771,cell_793,67.4365343963551,1.2648148570579283e-18,4.211186924418792,-41.211605920481695
2004,cell_772,cell_795,54.15570995552503,1.9513085957631364e-17,3.991863414896627,-38.47544635864277
2005,cell_772,cell_797,79.19741023915952,1.0600579243804834e-18,4.371943599285245,-41.3882081216199
2006,cell_772,cell_804,102.3476664677928,1.6403153263606834e-17,4.6283755123143395,-38.64905808537345
2007,cell_773,cell_788,118.13404835920322,3.383740233902298e-17,4.771819982746558,-37.92496490513247
2008,cell_773,cell_789,168.39315269607297,5.732852987818328e-17,5.126301440031862,-37.397733270451795
2009,cell_773,cell_798,162.58466587244484,1.194142564253403e-16,5.091198886839114,-36.66393307951476
