source_gene,target_gene,ab_vs_aa_pval,ab_vs_aa_stat,ab_vs_bb_pval,ab_vs_bb_stat,ba_vs_aa_pval,ba_vs_aa_stat,ba_vs_bb_pval,ba_vs_bb_stat,ab_likelihood,ba_likelihood,ab_type,ba_type,ab_rank,ba_rank,ab_likelihood_abs,ba_likelihood_abs,ab_rank_abs,ba_rank_abs
Col6a1,Sdc1,0.926435799105057,-0.09233006860579748,0.004802405908556572,-2.8199972630818,0.14558684982426975,-1.4552977480247127,4.46831403422101e-05,-4.081826546901453,0.09233006860579748,1.4552977480247127,negative,negative,223.0,55.0,0.09233006860579748,1.4552977480247127,223.0,55.0
Col9a1,Sdc1,0.6955728203751289,-0.3913036240912369,0.7358853486794164,-0.3373071786833921,0.07826103356473808,-1.7608663084105662,0.12213417132378483,-1.545877434289878,0.3373071786833921,1.545877434289878,negative,negative,184.5,48.0,0.3373071786833921,1.545877434289878,184.5,48.0
Fn1,Sdc1,0.018063726586258263,-2.3643092567984567,0.005498186508530276,-2.776297547624843,0.01001388675085243,-2.575349413611708,0.0030562660240147413,-2.9620213383169127,2.3643092567984567,2.575349413611708,negative,negative,17.0,8.0,2.3643092567984567,2.575349413611708,17.0,8.0
Thbs3,Sdc1,0.8889805678598689,-0.13959427039209857,0.00034095936532220836,-3.5820110513625,0.7995668747123156,0.25390768866594304,0.004485299424921467,-2.841847120810279,0.13959427039209857,0.25390768866594304,negative,inconsistent,219.0,202.0,0.13959427039209857,0.25390768866594304,219.0,202.0
Thbs4,Sdc1,0.048369827650618175,-1.9741048001906223,0.050516741561478604,-1.9555622666988561,0.15814702353096288,-1.4113310486886186,0.06685362297532563,-1.8326568169761628,1.9555622666988561,1.4113310486886186,negative,negative,28.0,61.0,1.9555622666988561,1.4113310486886186,28.0,61.0
Col1a1,Sdc4,0.9509185046089987,0.06155337907053165,0.11410278169097078,1.5800178369906261,0.33671692265967035,-0.9606723804936547,0.7317717652202349,0.34276964311551184,0.06155337907053165,0.34276964311551184,positive,inconsistent,230.0,183.0,0.06155337907053165,0.34276964311551184,230.0,183.0
Col1a2,Sdc4,0.48932906430814727,0.6913763470600788,0.02800071794374602,-2.1972763178201533,0.16979581568028035,1.3728601867695363,0.2518978164874158,-1.1457519146371091,0.6913763470600788,1.1457519146371091,inconsistent,inconsistent,125.0,86.0,0.6913763470600788,1.1457519146371091,125.0,86.0
Col2a1,Sdc4,0.12411334656100984,-1.5377353092798889,0.00644176282357342,-2.7244041355197055,0.2664571720389566,-1.1112583257197768,0.01489617245461135,-2.434893520617361,1.5377353092798889,1.1112583257197768,negative,negative,45.0,89.0,1.5377353092798889,1.1112583257197768,45.0,89.0
Col4a1,Sdc4,0.17744025354239934,-1.3486785021346845,0.0003629919557533236,-3.5656236580661407,0.6866580569093418,-0.4033944664086628,0.009581608662104927,-2.5905737569327725,1.3486785021346845,0.4033944664086628,negative,negative,61.0,177.0,1.3486785021346845,0.4033944664086628,61.0,177.0
Col4a2,Sdc4,0.15020429551464692,-1.4388102357736774,0.047841035724167806,-1.978777740535365,0.8200134565588335,0.22752766906428665,0.9140879689519484,0.10788367253436427,1.4388102357736774,0.10788367253436427,negative,positive,56.0,230.0,1.4388102357736774,0.10788367253436427,56.0,230.0
Col4a5,Sdc4,0.9956149782506615,0.005495837417011755,0.5370642477778399,0.6172584808295273,0.017534647869478694,-2.3753009316324802,0.11162245690952985,-1.5909427658548656,0.005495837417011755,1.5909427658548656,positive,negative,244.0,45.0,0.005495837417011755,1.5909427658548656,244.0,45.0
Col4a6,Sdc4,0.44556941959247887,-0.7628222334812316,0.18574161247559973,-1.3232820086809998,0.0810930598793765,-1.744378796159531,0.003790303370986306,-2.895106149023446,0.7628222334812316,1.744378796159531,negative,negative,115.0,36.0,0.7628222334812316,1.744378796159531,115.0,36.0
Col6a1,Sdc4,0.819158964403597,-0.22862683654768898,0.0019266375102142636,-3.1013141813359653,0.12492198260664501,-1.5344378068296818,2.344059386516192e-05,-4.229313086568686,0.22862683654768898,1.5344378068296818,negative,negative,201.0,50.0,0.22862683654768898,1.5344378068296818,201.0,50.0
Col9a1,Sdc4,0.5993037238258232,-0.5254020570663237,0.44198719020537125,-0.7688418688208492,0.12224241379717309,-1.5454294816637053,0.07102079099050049,-1.8053444948155641,0.5254020570663237,1.5454294816637053,negative,negative,154.0,49.0,0.5254020570663237,1.5454294816637053,154.0,49.0
Thbs3,Sdc4,0.412855010068777,-0.8188797751347514,8.56534820495261e-06,-4.450542896069534,0.6785913368155125,-0.4143861412426863,5.912476401868838e-05,-4.016276973716017,0.8188797751347514,0.4143861412426863,negative,negative,111.0,174.0,0.8188797751347514,0.4143861412426863,111.0,174.0
Thbs4,Sdc4,0.028398288460559116,-2.191739961904288,0.02085371784157172,-2.310622454786637,0.16472704592692966,-1.3893476990205715,0.06327731410909096,-1.8572379069207015,2.191739961904288,1.3893476990205715,negative,negative,23.0,62.0,2.191739961904288,1.3893476990205715,23.0,62.0
Lama1,Sv2c,0.5018438977722006,-0.6715913323588364,0.11726396962078603,-1.566361675910327,0.3134849081500084,1.0079365822799558,0.9238437236151938,-0.09559312756209493,0.6715913323588364,0.09559312756209493,negative,inconsistent,128.5,233.0,0.6715913323588364,0.09559312756209493,128.5,233.0
Lama5,Sv2c,0.634117465819376,-0.47593952031321796,0.09274865275615714,-1.6810734289848408,0.14167366350148425,1.469586925308943,0.801602767199828,-0.25127336387750665,0.47593952031321796,0.25127336387750665,negative,inconsistent,161.0,203.0,0.47593952031321796,0.25127336387750665,161.0,203.0
Lamb1,Sv2c,0.40661146830245787,-0.8298714499687749,0.1742137682480519,-1.358788027489778,0.3406011121089667,0.9529782081098382,0.6720464894118552,0.42334099348927756,0.8298714499687749,0.42334099348927756,negative,positive,110.0,172.0,0.8298714499687749,0.42334099348927756,110.0,172.0
Lamb2,Sv2c,0.10543140608862182,-1.6190737030516629,0.5524833485141032,-0.5940430069930185,0.8924556442331205,0.13519760045848916,0.1931105746033046,1.3014321509525208,0.5940430069930185,0.13519760045848916,negative,positive,143.0,225.0,0.5940430069930185,0.13519760045848916,143.0,225.0
