,cell_1,cell_2,tension,type,distance_to_boundary
486,cell_287,cell_330,257.6610957989004,Hindbrain_awayfrom_boundary,3
487,cell_287,cell_341,300.02627610626047,Hindbrain_awayfrom_boundary,3
488,cell_287,cell_345,290.3032064778061,Hindbrain_awayfrom_boundary,3
491,cell_291,cell_321,276.0538660386818,Hindbrain_awayfrom_boundary,1
492,cell_291,cell_327,239.0730781234314,Hindbrain_awayfrom_boundary,2
493,cell_291,cell_329,236.1172784111326,Hindbrain_awayfrom_boundary,2
494,cell_291,cell_330,241.682493289462,Hindbrain_awayfrom_boundary,2
497,cell_295,cell_302,43.44209503762884,Hindbrain_awayfrom_boundary,5
507,cell_302,cell_307,97.53328162580986,Hindbrain_awayfrom_boundary,4
508,cell_302,cell_310,111.9335183127782,Hindbrain_awayfrom_boundary,5
509,cell_303,cell_321,425.52121123562574,heterotypic,0
518,cell_307,cell_325,74.55806094732029,Hindbrain_awayfrom_boundary,4
519,cell_307,cell_332,67.77726490246057,Hindbrain_awayfrom_boundary,4
536,cell_321,cell_327,188.07077437894523,Hindbrain_awayfrom_boundary,1
537,cell_321,cell_337,142.75477418129245,Hindbrain_awayfrom_boundary,1
540,cell_325,cell_332,24.45375664663941,Hindbrain_awayfrom_boundary,4
541,cell_325,cell_345,128.56474730879515,Hindbrain_awayfrom_boundary,4
542,cell_325,cell_347,12.836051823470434,Hindbrain_awayfrom_boundary,4
543,cell_325,cell_356,13.175209670714857,Hindbrain_awayfrom_boundary,4
547,cell_327,cell_329,11.463021906736314,Hindbrain_awayfrom_boundary,2
548,cell_327,cell_337,92.29575667562182,Hindbrain_awayfrom_boundary,2
549,cell_329,cell_330,30.551795195219167,Hindbrain_awayfrom_boundary,3
550,cell_329,cell_346,225.4581375705617,Hindbrain_awayfrom_boundary,3
551,cell_330,cell_341,251.7993532000229,Hindbrain_awayfrom_boundary,3
552,cell_330,cell_346,201.45571409409507,Hindbrain_awayfrom_boundary,3
553,cell_332,cell_338,38.34132968830054,Hindbrain_awayfrom_boundary,5
554,cell_332,cell_347,14.76966336616351,Hindbrain_awayfrom_boundary,5
562,cell_338,cell_347,25.56679148673276,Hindbrain_awayfrom_boundary,5
564,cell_341,cell_345,153.70784514598435,Hindbrain_awayfrom_boundary,4
565,cell_341,cell_346,117.9298307458502,Hindbrain_awayfrom_boundary,4
