,cell_1,cell_2,tension,type,distance_to_boundary,relative_adhesion,Cdh1,Cdh2,Cdh3,Cdh4,Cdh15,Cdh6,Cdh7,Cdh8,Cdh9,Cdh10,Cdh11,Cdh12,Cdh18,Cdh20,Cdh22,Cdh24,Cdh13,log_tension,log_adhesion
90,cell_62,cell_76,7.658430693564198,Midbrain_awayfrom_boundary,4,2.540806902102252e-16,0.0,2.4166745827874313e-16,0.0,1.9588805225861515e-18,5.043930458664689e-21,1.339619849170763e-21,0.0,9.920326319005692e-22,0,0.0,7.078350596308697e-21,0,0,3.282407173528561e-22,1.0366120134655053e-17,4.125756232031137e-23,7.340784242516021e-20,2.035807092471835,-35.90887977933024
91,cell_62,cell_93,92.27290567143218,Midbrain_awayfrom_boundary,3,5.023895167113132e-17,0.0,4.945196956634403e-17,0.0,4.662694550514079e-19,9.157282879799854e-21,6.980047521030807e-21,0.0,4.80055303003911e-20,0,0.0,1.0376589103809967e-19,0,0,7.344133731652445e-21,1.339496853609781e-19,6.85894886333519e-24,1.1503219955071539e-20,4.5247505520606275,-37.52974101836915
92,cell_64,cell_65,196.7038347374449,Hindbrain_awayfrom_boundary,3,3.049116171790969e-18,1.3840051221598455e-22,2.851470868231201e-18,0.0,9.768045396576851e-20,6.71282388590534e-22,0.0,0.0,9.668487623850603e-23,0,0.0,6.263828654487894e-21,0,0,7.966170628221188e-21,3.7667599333730277e-20,2.734389590106366e-23,4.7133539304613855e-20,5.281699220565657,-40.33167990500843
93,cell_64,cell_78,32.74005695364701,Hindbrain_awayfrom_boundary,3,1.770835904581521e-17,2.5878877140402993e-21,1.64324777555206e-17,0.0,4.789091721105398e-19,1.0632132463641395e-20,0.0,0.0,7.351314445864371e-22,0,0.0,1.5290977714148511e-19,0,0,1.9186303492012226e-19,2.6345260150700508e-19,4.194221618339191e-20,1.3284933680980086e-19,3.4885993115153004,-38.57249488331843
94,cell_64,cell_82,176.73275067354524,Hindbrain_awayfrom_boundary,3,7.828821406177132e-18,1.248939815249442e-22,7.582000551297522e-18,0.0,7.96934067516576e-20,1.5329461627005418e-23,0.0,0.0,0.0,0,0.0,1.908191865570025e-20,0,0,1.9585148615548427e-20,3.959290652342857e-20,6.940704896264075e-23,8.865784384116164e-20,5.174638708351195,-39.38871969805798
95,cell_65,cell_68,102.64154452643712,Hindbrain_awayfrom_boundary,4,2.8785558693049296e-17,1.3255129565238205e-21,2.7329488202112024e-17,0.0,9.344053304761835e-19,1.1541802335621236e-20,2.0261266803943108e-21,0.0,6.53097080081193e-22,0,0.0,1.1039164564834243e-19,0,0,1.1908763393944328e-19,5.598576776170015e-21,3.8514958698741175e-24,2.7103691354863757e-19,4.631242768191405,-38.08665784678025
96,cell_65,cell_82,72.27288663368935,Hindbrain_awayfrom_boundary,4,1.3575877692075543e-17,3.752704372593636e-23,1.3080787164854328e-17,4.445599486128051e-25,2.6507483115102423e-19,2.2833763875466646e-23,2.054378362389289e-21,0.0,0.0,0,0.0,1.8048459078304852e-20,0,0,1.858419056486324e-20,4.419348968907602e-20,2.7915829146935775e-25,1.4707409384971585e-19,4.280449046847974,-38.83823715512968
97,cell_65,cell_114,117.03976616887466,Hindbrain_awayfrom_boundary,4,1.3750716000145491e-17,0.0,1.3058084404826703e-17,0.0,2.4748378881870574e-19,2.2806837734447837e-21,4.438364424446539e-20,0.0,1.7751643099431665e-23,0,0.0,3.444694006932485e-20,0,0,5.1906332335339175e-20,2.7008667960190493e-19,1.0921967349049612e-22,4.19165551590148e-20,4.76251375883628,-38.825440778398125
98,cell_65,cell_145,98.72396133436706,Hindbrain_awayfrom_boundary,4,3.7768144284396775e-18,1.287641874112974e-22,3.55177250438776e-18,0.0,1.8560778726346925e-19,1.036984048663381e-21,1.5448242692490097e-22,0.0,0.0,0,0.0,8.438697623923035e-21,0,0,6.724227195027606e-21,0.0,2.2001958855482284e-24,2.2948781110613083e-20,4.592327686320885,-40.117650763368545
100,cell_66,cell_104,141.04954656012384,Midbrain_awayfrom_boundary,1,7.87536836674321e-18,0.0,7.742717949790142e-18,0.0,9.601125567336824e-20,4.332243489464519e-21,0.0,0.0,0.0,0,0.0,2.8026101356757817e-20,0,0,3.1902199305150723e-22,3.0231444716833634e-21,0.0,9.386499687435582e-22,4.949111222697172,-39.38279171354583
101,cell_68,cell_85,0.4724242565188085,Hindbrain_awayfrom_boundary,5,4.0555331672818755e-17,0.0,3.92794819589763e-17,0.0,4.140489336628524e-19,9.084667945043262e-22,3.1651440160646114e-21,0.0,3.216810317767923e-20,0,0.0,1.2081709769178705e-19,0,0,5.4847726425951775e-19,2.885898457443e-22,2.1784723569382143e-21,1.5379764203736262e-19,-0.7498778485622426,-37.74386441805804
102,cell_68,cell_140,157.8245092978165,Hindbrain_awayfrom_boundary,5,7.313134886126984e-18,5.749282492739453e-24,6.984760063875273e-18,0.0,1.9959890520606945e-19,4.5888357323637954e-23,1.1446809297508154e-23,0.0,0.0,0,0.0,2.5332045248910843e-20,0,0,4.715003957999371e-20,4.3902952517083746e-23,2.3360936982670353e-23,5.616348387812501e-20,5.061483715095151,-39.4568596430692
103,cell_68,cell_145,158.2355163845812,Hindbrain_awayfrom_boundary,5,3.317881246424878e-17,6.3518399867402574e-21,3.1796893404309545e-17,0.0,8.260507246857861e-19,1.8524991546903928e-20,1.379758311229448e-23,0.0,0.0,0,0.0,2.4354042024466234e-19,0,0,1.6419719119674307e-19,0.0,1.1924503296240534e-22,1.231208496623242e-19,5.064084533199604,-37.944620180480825
111,cell_72,cell_74,74.55714914359983,Hindbrain_awayfrom_boundary,1,3.3338534793406865e-17,0.0,3.0709635620589604e-17,0.0,7.676064212389527e-19,3.5132413963641404e-20,0.0,0.0,1.96678290274061e-24,0,0.0,4.3066617907828867e-19,0,0,6.079821079765703e-20,1.3248974072567357e-18,3.1557952564749746e-21,6.6407784426037315e-21,4.311565933911351,-37.9398177449442
112,cell_72,cell_78,158.8971824522132,Hindbrain_awayfrom_boundary,2,1.3000481966302784e-17,0.0,1.1535632127288134e-17,0.0,5.480430808979094e-19,1.5900315278252825e-20,5.0235965569386023e-23,0.0,2.264009361146789e-24,0,0.0,2.4483208826306875e-19,0,0,2.4982431801855508e-19,3.730699159993835e-19,2.6073842676852805e-20,7.053777905698489e-21,5.068257341807196,-38.88154524278754
113,cell_72,cell_99,186.2676390476972,Hindbrain_awayfrom_boundary,2,1.7833733676978238e-17,0.0,1.6639156527086828e-17,0.0,2.8297154730648636e-19,1.0928586109096606e-20,3.1595155849958102e-22,0.0,0.0,0,0.0,8.114200460293769e-20,0,0,2.8512278539353946e-19,4.835077058949438e-19,2.6865382088557624e-20,2.3723186937347574e-20,5.227184559071672,-38.5654398597346
114,cell_72,cell_109,213.7897821934244,Hindbrain_awayfrom_boundary,2,1.342721068690929e-17,0.0,1.3142153687722248e-17,0.0,1.2732859592923318e-19,2.230509026578839e-22,1.5577456629852794e-21,0.0,0.0,0,0.0,4.539863111210518e-20,0,0,7.664106321499217e-20,2.6867268695638853e-20,2.941148252704731e-21,4.099495416724484e-21,5.364993206024317,-38.84924837763845
115,cell_74,cell_109,271.4133029026686,Hindbrain_awayfrom_boundary,1,4.281325867089019e-18,0.0,4.238108779887417e-18,0.0,2.2478009155406807e-20,6.850709065896523e-23,0.0,0.0,0.0,0,2.9311945477877735e-26,1.0152408732895624e-20,0,0,2.894799401476198e-21,4.5970072284376715e-21,3.1121342309631575e-23,2.995204938470917e-21,5.603642762053137,-39.992268930241515
116,cell_74,cell_124,170.92220089113408,Hindbrain_awayfrom_boundary,1,2.863969793285758e-17,0.0,2.802344484572654e-17,0.0,2.873800844814538e-19,1.405654872869591e-20,0.0,0.0,2.0189172094114866e-22,0,0.0,2.2546705720771546e-19,0,0,2.3070179635088614e-20,0.0,0.0,6.60773253571383e-20,5.141208487425509,-38.09173787889309
121,cell_76,cell_93,95.6952945074086,Midbrain_awayfrom_boundary,3,7.964245934487034e-17,0.0,7.872636163139371e-17,0.0,6.180233481246775e-19,7.311265132741723e-21,1.9393999936553688e-20,0.0,6.850888998715446e-22,0,0.0,8.080223293934065e-21,0,0,1.2582066222115501e-20,2.1456472681539039e-19,1.6849988185886508e-23,3.544014506315808e-20,4.561169128048482,-37.068984314399266
122,cell_76,cell_98,115.1054234710936,Midbrain_awayfrom_boundary,4,1.8779016142166206e-16,0.0,1.7867069215939237e-16,0.0,1.2368393934883584e-18,1.972691249992753e-21,1.818818159538097e-21,0.0,6.94535767700748e-24,0,0.0,2.703261935620842e-22,0,0,2.754480074544155e-22,7.768006163431889e-18,4.9664330838592587e-23,1.102298120503727e-19,4.745848434262343,-36.21120649708704
