,cell_1,cell_2,length
506,cell_149,cell_172,216.03703386225243
507,cell_717,cell_723,112.60550608207397
508,cell_172,cell_222,102.44998779892558
509,cell_582,cell_591,51.92301994298868
510,cell_562,cell_582,83.67361024692873
511,cell_643,cell_661,137.53544997563355
512,cell_661,cell_681,152.2366578718805
513,cell_450,cell_479,152.0526224699857
514,cell_479,cell_509,104.0
515,cell_582,cell_605,82.68010643437755
516,cell_509,cell_526,157.13688300332294
517,cell_526,cell_562,89.10667763978185
518,cell_605,cell_643,48.16637831516918
519,cell_58,cell_61,478.81938139553205
520,cell_562,cell_575,15.763646911486688
521,cell_575,cell_582,144.30964296177487
522,cell_172,cell_189,195.34584715319647
523,cell_27,cell_61,15.231546211727817
524,cell_189,cell_222,72.47068372797375
525,cell_607,cell_643,43.9089968002003
526,cell_605,cell_607,108.90362712049586
527,cell_526,cell_575,124.06449935416659
528,cell_681,cell_693,96.74709297958259
529,cell_27,cell_58,36.05551275463989
530,cell_582,cell_607,87.65842800324451
531,cell_693,cell_723,44.94441010848846
532,cell_723,cell_732,274.2125316626866
533,cell_624,cell_643,28.284271247461902
534,cell_495,cell_509,28.42534080710379
535,cell_479,cell_495,184.83506160899236
536,cell_607,cell_624,154.01298646542764
537,cell_693,cell_732,78.0
538,cell_624,cell_661,37.33760962305101
539,cell_53,cell_58,208.0192298803166
540,cell_27,cell_53,19.359319882839426
541,cell_24,cell_27,158.50571041529122
542,cell_495,cell_526,99.9599919967984
543,cell_8,cell_27,12.649110640673518
544,cell_24,cell_53,85.10063773729344
545,cell_450,cell_457,66.75327707311455
546,cell_723,cell_769,70.75933545118357
547,cell_661,cell_662,107.54841356379448
548,cell_8,cell_24,120.33287165193059
549,cell_457,cell_479,113.77170122662314
550,cell_624,cell_662,112.14332368277677
551,cell_58,cell_179,78.587530817554
552,cell_179,cell_189,246.64144015148793
553,cell_662,cell_681,28.284271247461902
554,cell_662,cell_693,30.59411708155671
555,cell_575,cell_607,26.832815729997478
556,cell_413,cell_457,126.64912159190051
557,cell_601,cell_607,39.395431207184416
558,cell_575,cell_601,55.17245689653489
559,cell_693,cell_719,92.45539465060976
560,cell_719,cell_732,92.19544457292888
561,cell_662,cell_690,57.30619512757761
562,cell_690,cell_693,132.74034804836094
563,cell_732,cell_769,61.724750272713784
564,cell_526,cell_549,112.16059914247963
565,cell_549,cell_575,89.28605714219886
566,cell_601,cell_624,149.30505684671232
567,cell_58,cell_131,244.8182999695897
568,cell_58,cell_91,174.56230979223437
569,cell_91,cell_131,122.67368692417584
570,cell_24,cell_38,119.63277142990545
571,cell_38,cell_53,196.5807722031837
572,cell_507,cell_526,81.43709228600933
573,cell_495,cell_507,114.85643212288984
574,cell_549,cell_601,36.22154055254967
575,cell_732,cell_751,148.29699929533302
576,cell_719,cell_751,133.2216198670471
577,cell_53,cell_91,110.16351483136329
578,cell_131,cell_179,138.70832707519762
579,cell_3,cell_8,90.08884503644167
580,cell_657,cell_662,91.41115905621152
581,cell_657,cell_690,124.33824833895642
582,cell_751,cell_769,10.0
583,cell_457,cell_458,54.037024344425184
584,cell_458,cell_479,116.0
585,cell_458,cell_495,73.348483283569
586,cell_507,cell_549,72.44308110509934
587,cell_624,cell_657,32.84851700278491
588,cell_16,cell_24,111.80339887498948
589,cell_549,cell_587,118.72657663724664
590,cell_587,cell_601,75.41341979752049
591,cell_751,cell_762,140.98226838861686
592,cell_762,cell_769,74.24284477308234
593,cell_8,cell_16,84.8528137423857
594,cell_690,cell_719,51.10772935672255
595,cell_624,cell_638,44.48710897629083
596,cell_638,cell_657,162.1356059874746
597,cell_1,cell_3,197.34234213670416
598,cell_458,cell_507,98.48857801796105
599,cell_601,cell_612,94.98301275318299
600,cell_587,cell_612,118.31548346763873
601,cell_7,cell_8,126.39620247459969
602,cell_179,cell_207,117.04699910719626
603,cell_601,cell_638,74.02702209328699
604,cell_413,cell_458,92.64987857520376
605,cell_713,cell_719,108.81176406988355
606,cell_690,cell_713,105.05795420542215
607,cell_87,cell_131,64.75195534376033
608,cell_87,cell_91,246.28468773216156
609,cell_16,cell_38,54.589376255824725
610,cell_7,cell_16,119.81652640600127
611,cell_548,cell_549,133.41664064126334
612,cell_3,cell_7,69.05070600652827
613,cell_507,cell_548,27.202941017470888
614,cell_131,cell_207,175.84083712266613
615,cell_53,cell_87,51.884487084291386
616,cell_131,cell_134,122.31994614095795
617,cell_50,cell_53,48.41487374764082
618,cell_38,cell_50,179.25400971805345
619,cell_612,cell_638,22.80350850198276
620,cell_506,cell_507,105.90561835898981
621,cell_87,cell_134,178.54971296532514
622,cell_506,cell_548,66.12110101926616
623,cell_719,cell_741,47.07440918375928
624,cell_741,cell_751,59.09314681077663
625,cell_690,cell_694,56.43946555524016
626,cell_548,cell_587,47.07440918375928
627,cell_694,cell_713,193.9497371795196
628,cell_9,cell_16,155.65346125287417
629,cell_9,cell_38,111.51681487560519
630,cell_638,cell_690,31.622776601683793
631,cell_713,cell_741,113.43720729989786
632,cell_618,cell_638,157.20050890502867
633,cell_612,cell_618,115.39497389401325
634,cell_413,cell_422,225.44178849538966
635,cell_458,cell_506,100.43903623591775
636,cell_422,cell_458,213.78493866500511
637,cell_50,cell_87,142.3938200906205
638,cell_3,cell_4,193.13207915827965
639,cell_638,cell_694,32.31098884280702
640,cell_4,cell_7,108.664621657649
641,cell_583,cell_587,111.42710621747295
642,cell_548,cell_583,46.861498055439924
643,cell_131,cell_162,188.2081022626865
644,cell_134,cell_162,215.22210931807774
645,cell_884,cell_896,153.32318807016765
646,cell_506,cell_547,94.0
647,cell_547,cell_548,115.7410903698423
648,cell_587,cell_618,24.08318915758459
649,cell_638,cell_686,39.698866482558415
650,cell_686,cell_694,186.46179233290664
651,cell_741,cell_759,89.55445270895244
652,cell_7,cell_9,145.43727170158274
653,cell_547,cell_583,62.289646009589745
654,cell_583,cell_618,34.23448553724738
655,cell_638,cell_670,56.32051136131489
656,cell_670,cell_686,127.38916751435343
657,cell_458,cell_489,68.41052550594829
658,cell_9,cell_50,32.55764119219941
659,cell_489,cell_506,111.60645142642964
660,cell_618,cell_670,32.802438933713454
661,cell_1,cell_4,74.96665925596525
662,cell_87,cell_101,127.27922061357856
663,cell_872,cell_884,123.23960402403117
664,cell_896,cell_905,80.72814459112233
665,cell_422,cell_489,81.21576201698781
666,cell_207,cell_225,187.8084130170957
667,cell_583,cell_595,95.4148835350125
668,cell_595,cell_618,104.80458005259122
669,cell_694,cell_741,23.323807579381203
670,cell_9,cell_12,347.81604333325396
671,cell_12,cell_50,68.87670143089025
672,cell_101,cell_134,97.66232993726666
673,cell_618,cell_636,142.35167719419397
674,cell_636,cell_670,76.02631123499285
675,cell_729,cell_741,57.688820407423826
676,cell_694,cell_729,45.34313619501854
677,cell_162,cell_207,11.661903789690601
678,cell_547,cell_557,94.02127418834527
679,cell_557,cell_583,59.0592922409336
680,cell_50,cell_101,34.23448553724738
681,cell_162,cell_225,83.18653737234169
682,cell_1,cell_2,191.049731745428
683,cell_522,cell_547,65.05382386916237
684,cell_506,cell_522,104.9952379872535
685,cell_896,cell_901,15.824872433990318
686,cell_901,cell_905,127.51082643138615
687,cell_694,cell_708,46.04345773288535
688,cell_557,cell_595,84.0
689,cell_686,cell_708,117.18361660232202
690,cell_708,cell_729,129.1200991325518
691,cell_98,cell_101,168.69559008575925
692,cell_905,cell_917,87.72684879784524
693,cell_2,cell_4,18.11546544423744
694,cell_50,cell_98,58.240879114244144
695,cell_884,cell_901,45.34313619501854
696,cell_489,cell_522,36.76955262170047
697,cell_595,cell_636,12.649110640673518
698,cell_46,cell_50,222.80035906613796
699,cell_12,cell_46,87.8179936004006
700,cell_444,cell_489,134.5362404707371
701,cell_422,cell_444,264.76404589747455
702,cell_580,cell_595,163.19313711060278
