,pressure,perimeter,feret_d,area,centroid_x,centroid_y,stresstensor_eigval1,stresstensor_eigval2,stresstensor_orientation,stresstensor_anisotropy,inertiatensor_eigval1,inertiatensor_eigval2,inertiatensor_orientation,inertiatensor_anisotropy,moments_hu_1,moments_hu_3,bbox_x,bbox_y,celltype,celltype_conf,cluster,cluster_conf,phenograph_clusters,boundary_annotation
cell_819,0.1432531021424637,1144.9198769408945,411.8507011041744,41881,5721.345502733937,6801.9123468876105,0.0058998492063489,0.0001741294923475,0.3356995323786315,0.9426637790531096,9522.289854343124,1366.1046396007723,0.8630389321149314,0.7490714282329508,0.2599841095948974,0.0022139112014385,311,321,Forebrain/Midbrain/Hindbrain,1.0,6.0,0.7253136382031566,3,Other
cell_820,0.173425686648663,1278.2630226914018,422.3706902709988,49063,3368.539612335161,6771.362859996331,0.0002677555098187,0.0002359871114455,0.0143978549064618,0.0630647418585511,9204.912917644406,2065.315640880593,0.1033829342691144,0.6334917911991497,0.2297093239003933,0.0013552437573779,421,243,Cranial mesoderm,1.0,2.0,1.0,5,Other
cell_821,0.1443733787800056,1103.5290039756342,361.9627052611912,39115,5880.598568324172,6816.779189569219,0.0027789233091366,0.0005913212513085,0.5607404979013214,0.6490929719174663,7054.78611366951,1742.0843089339749,0.586877948432338,0.6039308924097134,0.224897620416809,0.0028393301965597,353,235,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_822,0.0517042806223944,1020.422402257836,313.70368184004474,32437,3932.978666337824,6832.552794648087,0.0131861883392136,0.0041792100965831,0.2639330621255294,0.518673860316596,4210.761452926396,2101.964510518772,0.2787680152562242,0.3340548844697115,0.1946149755971627,0.0008860377114364,299,225,Cranial mesoderm,1.0,2.0,1.0,5,Other
cell_823,0.2712648745343952,1271.848809129029,407.176865747552,67493,3695.15952765472,6880.954380454269,0.0050533137157339,0.0019723623377827,0.3199604025236796,0.4385273893192207,8352.764040804828,3767.560346956282,0.0126191341588574,0.3783070111950637,0.1795789843059445,0.0006485457482935,407,261,Cranial mesoderm,0.9999999999999998,2.0,0.9999999999999998,5,Other
cell_824,0.1500521610241792,1390.9970414071695,436.4951317025197,74743,4243.571250819475,6867.113482199002,0.005549266112313,0.0025630529197178,1.142392626017322,0.3681084509625882,10638.463974631228,4011.3495965092034,0.3609783965686884,0.4523685128101005,0.1960024827895647,0.0018219984215113,407,307,Cranial mesoderm,1.0,2.0,1.0,5,Other
cell_825,0.2469874322470091,995.3868683519032,343.1573982883073,38029,5330.076231297168,6876.647900286624,0.0011050146774443,0.0008239333789379,0.3544151394483187,0.1457174015527862,7339.713070652773,1325.8873235281771,0.8961415965654322,0.693988353208965,0.2278682162081818,0.0006282805985396,273,275,Forebrain/Midbrain/Hindbrain,1.0,6.0,0.5184709283649213,3,Other
cell_826,0.7796629416311897,760.4629867976522,289.1660422663768,19755,6585.130194887371,6812.289749430524,0.017407117056212,0.0029434918353093,0.4809805393199941,0.7107219886147274,3675.737607928621,733.7767738992384,0.1931255543546273,0.6671847689517827,0.2232100421072063,1.743483253001063e-05,279,129,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_827,1.872067269605434,928.1848122046,298.390683500675,40303,4676.749224623477,6921.663126814381,0.0463170807248366,0.0237794977499426,0.1603624395301236,0.3215218697586355,5406.518120486588,2029.791129098519,1.3721063539764566,0.4540864127694078,0.1845100674784781,0.0002302977532075,203,291,Cranial mesoderm,1.0,2.0,1.0,5,Other
cell_828,0.2369841783976516,1006.4163056034262,362.0952913253637,39231,5489.239045652673,6919.06130356096,0.0012253235371368,0.0008135920645488,0.564147916539706,0.2019364961686237,5789.376628777104,1837.884205634589,0.5432601505351371,0.5180749038127397,0.1944192305679614,0.0002079154917388,315,227,Forebrain/Midbrain/Hindbrain,1.0,4.0,1.0,3,Other
cell_829,0.662947258940822,909.1025971044412,288.0919991947017,32555,4971.720104438642,6995.853079404085,0.0236347252983564,0.0065593283091538,0.1820461967315144,0.5655218478169265,5222.092054805534,1559.1960997155677,1.102686705521721,0.5401475164638011,0.2083025082021533,0.0016361448286116,227,279,Definitive endoderm,1.0,1.0,1.0,4,Other
cell_830,0.2432865851627497,986.6883835420682,336.6674917481639,46615,5984.028252708356,6966.555357717473,0.0033931718685991,0.0017696530335008,0.229814529905919,0.3144632765751688,5770.183673707412,2487.198471323012,0.7443809191147677,0.3975818418868035,0.1771400224183293,3.536417376857878e-05,291,247,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_831,0.6821078711435121,954.1736649163068,324.2298567374695,36363,6431.832522069136,6991.4231224046425,0.0164116591977361,0.0070034357412113,0.4500985016787604,0.4018016361264295,6889.805662987666,1274.841970543208,1.0431416804895164,0.6877165977604128,0.2245317392275355,7.290524509447329e-05,231,295,Forebrain/Midbrain/Hindbrain,1.0,6.0,1.0,3,Other
cell_832,0.1294871573590091,1421.7665940288705,518.0241307120741,54421,4297.294206280663,7029.736792782198,0.0125371671658042,0.0041651813708271,0.3987792894913597,0.501246023971763,17222.064559809238,1220.851305078439,0.5263342619092738,0.867607561188007,0.3388933658861043,0.0008653181787491,485,309,Cranial mesoderm,1.0,2.0,1.0,5,Other
