,cell_1,cell_2,tension,relative_adhesion,log_tension,log_adhesion
746,cell_283,cell_298,47.8624984814642,3.525490948901906e-18,3.8683322850763653,-40.1865119710424
747,cell_283,cell_308,26.184099447971235,7.06419442064895e-17,3.2651523352351757,-37.188907595233935
748,cell_283,cell_323,45.42933707563581,9.584533944937839e-18,3.8161580874490357,-39.186380921953706
749,cell_284,cell_295,83.97697331493605,2.0983068684688323e-17,4.4305426340604415,-38.40281581447633
750,cell_284,cell_302,21.971206634450308,1.970225658564682e-17,3.0897328068023535,-38.46579849721418
751,cell_286,cell_294,64.31661924995844,1.736521090602419e-17,4.163818062076974,-38.59206284230413
752,cell_286,cell_305,59.56040695702636,8.78819024250677e-17,4.086991040516212,-36.97053777862407
753,cell_287,cell_291,277.3201586984525,1.0376950174202183e-16,5.625172646331635,-36.804359563848095
754,cell_287,cell_307,84.8608933554374,1.0349347360828407e-16,4.441013367121988,-36.80702312010036
755,cell_287,cell_325,150.94685363804612,8.349091664432506e-17,5.016927812199583,-37.02179383065597
756,cell_287,cell_330,257.6610957989004,8.774212663113379e-17,5.551645139241475,-36.9721295405737
757,cell_287,cell_341,300.02627610626047,2.308919616647392e-17,5.70387005784155,-38.30716686419114
758,cell_287,cell_345,290.3032064778061,1.403294526249375e-17,5.670925916363336,-38.80512387575897
759,cell_288,cell_293,44.0312730379716,3.4655576353615e-17,3.7849001323174765,-37.90107302747909
760,cell_288,cell_299,115.54955418848276,2.140193265939832e-17,4.7496994785431745,-38.38305044475599
761,cell_288,cell_324,142.98422047452257,3.6603355753308224e-18,4.962734277839293,-40.14897684343371
762,cell_288,cell_328,170.935196079832,1.1836059224182827e-18,5.141284514381891,-41.277966028628505
763,cell_289,cell_293,79.66153811172872,1.0587047905030192e-17,4.377786886024646,-39.08690031564995
764,cell_289,cell_313,56.398390689645375,8.922696069323985e-18,4.032440624225378,-39.257933523045
765,cell_290,cell_301,259.72404798761715,5.4345720388043734e-17,5.559619713486858,-37.45116580513622
766,cell_290,cell_306,110.40365413080195,4.960811819824286e-16,4.704143232306122,-35.239792087209246
767,cell_291,cell_321,276.0538660386818,6.6366489489023366e-18,5.620596013481404,-39.55392451416659
768,cell_291,cell_327,239.0730781234314,3.201458194771359e-17,5.476769271401377,-37.98034018902032
769,cell_291,cell_329,236.1172784111326,1.2754806257997977e-16,5.464328624010671,-36.59803841891484
770,cell_291,cell_330,241.682493289462,4.669187777647063e-17,5.487624853515859,-37.60296144776045
771,cell_292,cell_309,129.93038870762695,8.151359609533731e-17,4.866998835559738,-37.04576184430378
772,cell_292,cell_314,128.11999313354607,4.500297720442052e-17,4.852967271147029,-37.63980302621275
773,cell_292,cell_331,152.72019067622514,9.778366191618657e-18,5.02860742795145,-39.166359259873225
774,cell_293,cell_313,106.94369205743592,4.5703396078925196e-17,4.672302453493879,-37.62435906630457
